Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub-Category,Product_Name,Sales,Quantity,Discount,Profit
19,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0.0,2.4824
83,CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0.0,6.2031
105,US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,-3.8385
107,CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,0.2,17.6016
117,CA-2014-115259,2014-08-25,2014-08-27,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,6,0.2,44.0316
99991,CA-2026-100001,2026-01-10,2026-01-14,Second Class,CUST1001,Aarav Sharma,Consumer,India,Jaipur,Rajasthan,302001,Central,OFF001,Office Supplies,Binders,Premium Notebook,850.0,3,0.1,120.0
99992,CA-2026-100002,2026-01-11,2026-01-15,Standard Class,CUST1002,Priya Singh,Corporate,India,Delhi,Delhi,110001,North,FUR001,Furniture,Chairs,Office Chair,4500.0,2,0.05,900.0
99993,CA-2026-100003,2026-01-12,2026-01-16,First Class,CUST1003,Rahul Verma,Home Office,India,Mumbai,Maharashtra,400001,West,TEC001,Technology,Phones,Smartphone,25000.0,1,0.15,3500.0
99994,CA-2026-100004,2026-01-13,2026-01-17,Standard Class,CUST1004,Neha Gupta,Consumer,India,Bengaluru,Karnataka,560001,South,OFF002,Office Supplies,Paper,A4 Paper Pack,600.0,5,0.0,120.0
99995,CA-2026-100005,2026-01-14,2026-01-18,Same Day,CUST1005,Karan Mehta,Corporate,India,Ahmedabad,Gujarat,380001,West,TEC002,Technology,Accessories,Wireless Mouse,1500.0,4,0.2,300.0
