customer_id,customer_name,email,registration_date,customer_type
1,Customer 1,customer1@example.com,2022-02-21,REGULAR
2,Customer 2,customer2@example.com,2022-07-29,REGULAR
3,Customer 3,customer3@example.com,2022-03-07,REGULAR
4,Customer 4,customer4@example.com,2024-10-31,REGULAR
5,Customer 5,customer5@example.com,2025-08-23,PREMIUM
6,Customer 6,customer6@example.com,2025-04-21,REGULAR
7,Customer 7,customer7@example.com,2022-11-23,PREMIUM
8,Customer 8,customer8@example.com,2023-03-17,REGULAR
9,Customer 9,customer9@example.com,2022-07-18,PREMIUM
10,Customer 10,customer10@example.com,2022-03-30,VIP
11,Customer 11,customer11@example.com,2024-02-15,VIP
12,Customer 12,customer12@example.com,2025-07-11,PREMIUM
13,Customer 13,customer13@example.com,2025-12-13,REGULAR
14,Customer 14,customer14@example.com,2023-08-16,REGULAR
15,Customer 15,customer15@example.com,2024-02-18,PREMIUM
16,Customer 16,customer16@example.com,2024-01-18,PREMIUM
17,Customer 17,customer17@example.com,2025-10-04,VIP
18,Customer 18,customer18@example.com,2025-08-20,VIP
19,Customer 19,customer19@example.com,2024-12-29,REGULAR
20,Customer 20,customer20@example.com,2023-07-07,VIP
21,Customer 21,customer21@example.com,2025-11-03,REGULAR
22,Customer 22,customer22@example.com,2022-03-07,PREMIUM
23,Customer 23,customer23@example.com,2023-03-09,VIP
24,Customer 24,customer24@example.com,2025-09-04,PREMIUM
25,Customer 25,customer25@example.com,2025-08-09,REGULAR
26,Customer 26,customer26@example.com,2023-05-21,VIP
27,Customer 27,customer27@example.com,2025-04-12,VIP
28,Customer 28,customer28@example.com,2023-03-26,VIP
29,Customer 29,customer29@example.com,2022-04-07,REGULAR
30,Customer 30,customer30@example.com,2025-10-25,VIP
31,Customer 31,customer31@example.com,2024-02-21,PREMIUM
32,Customer 32,customer32@example.com,2025-02-07,VIP
33,Customer 33,customer33@example.com,2025-10-28,PREMIUM
34,Customer 34,customer34@example.com,2023-11-28,PREMIUM
35,Customer 35,customer35@example.com,2024-07-18,VIP
36,Customer 36,customer36@example.com,2023-06-24,REGULAR
37,Customer 37,customer37@example.com,2022-08-06,PREMIUM
38,Customer 38,customer38@example.com,2024-11-05,REGULAR
39,Customer 39,customer39@example.com,2022-11-27,VIP
40,Customer 40,customer40@example.com,2025-05-11,PREMIUM
41,Customer 41,customer41@,2023-09-22,REGULAR
42,Customer 42,customer42@example.com,2025-03-07,REGULAR
43,Customer 43,customer43@example.com,2022-05-22,REGULAR
44,Customer 44,customer44@example.com,2024-08-31,REGULAR
45,Customer 45,customer45@example.com,2025-05-27,REGULAR
46,Customer 46,customer46@example.com,2025-11-13,VIP
47,Customer 47,customer47@example.com,2025-10-07,PREMIUM
48,Customer 48,customer48@example.com,2024-11-25,REGULAR
49,Customer 49,customer49@example.com,2022-05-12,REGULAR
50,Customer 50,customer50@example.com,2023-04-17,REGULAR
51,Customer 51,customer51example.com,2023-04-14,REGULAR
52,Customer 52,customer52@example.com,2022-05-26,REGULAR
53,Customer 53,customer53@example.com,2024-09-21,VIP
54,Customer 54,customer54@example.com,2025-03-15,PREMIUM
55,Customer 55,customer55@example.com,2024-08-26,REGULAR
56,Customer 56,customer56@example.com,2025-09-11,PREMIUM
57,Customer 57,customer57@example.com,2024-08-14,VIP
58,Customer 58,customer58@example.com,2025-08-16,REGULAR
59,Customer 59,customer59@example.com,2023-11-26,REGULAR
60,Customer 60,customer60@example.com,2025-01-03,REGULAR
61,Customer 61,customer61@example.com,2023-07-25,REGULAR
62,Customer 62,customer62@example.com,2022-06-04,VIP
63,Customer 63,customer63@example.com,2025-08-28,REGULAR
64,Customer 64,customer64@example.com,2023-04-30,PREMIUM
65,Customer 65,customer65@example.com,2023-03-14,REGULAR
66,Customer 66,customer66@example.com,2022-01-05,PREMIUM
67,Customer 67,customer67@example.com,2024-07-20,PREMIUM
68,Customer 68,customer68@example.com,2025-02-12,REGULAR
69,Customer 69,customer69@example.com,2023-03-22,VIP
70,Customer 70,customer70@example.com,2022-05-05,REGULAR
71,Customer 71,customer71@example.com,2024-09-03,VIP
72,Customer 72,customer72@example.com,2024-11-06,REGULAR
73,Customer 73,customer73@example.com,2022-05-20,PREMIUM
74,Customer 74,customer74@example.com,2025-03-12,VIP
75,Customer 75,customer75@example.com,2025-06-22,PREMIUM
76,Customer 76,customer76@example.com,2025-03-03,PREMIUM
77,Customer 77,customer77@example.com,2023-02-23,REGULAR
78,Customer 78,customer78@example.com,2022-09-26,PREMIUM
79,Customer 79,customer79@example.com,2022-05-29,PREMIUM
